listening_time,ads_listened,is_premium,skip_rate,is_churned
112,45,1,0.3074325325478372,0
280,71,0,0.2879786079325004,0
116,54,0,0.9150324234710843,1
81,85,1,0.8677820443927635,1
198,84,0,0.37014791835041694,1
30,25,1,0.07115525588258109,0
112,84,0,0.8941073178047334,1
131,24,1,0.8881899529641872,0
224,64,0,0.854746132030725,1
97,5,0,0.8450816377355016,1
109,22,1,0.4802540010861547,0
161,63,1,0.17743165224959823,0
140,86,0,0.4774880504624277,1
159,42,0,0.49459777066946486,0
267,22,1,0.4899317532448607,0
201,95,1,0.5387725861151161,0
286,29,0,0.2576570229911551,0
170,76,0,0.36624118113361503,1
31,17,1,0.43418659196346954,0
262,86,1,0.13112120951649986,0
245,78,1,0.4553641345615005,0
58,96,1,0.810469617069593,1
68,20,1,0.8280595427328763,0
179,56,0,0.41156377190103033,0
197,22,0,0.5188083120843535,0
280,90,1,0.03365033213505664,0
199,44,0,0.6744325564685969,1
184,43,0,0.40460588294686306,0
60,81,1,0.4454776830833458,1
64,87,0,0.8736727271797647,1
253,46,0,0.46183443456060835,0
140,39,0,0.021192246227852762,0
144,50,1,0.22749089086906238,0
30,41,1,0.47562061430825897,0
176,6,0,0.42439629274853574,0
283,49,0,0.8603701372804806,1
98,47,0,0.5421375093061667,1
23,83,0,0.689635741915121,1
251,90,0,0.4693232970434701,1
274,5,0,0.4396557340591649,0
62,90,1,0.4462866684743513,1
101,8,0,0.41092156969383886,0
273,56,0,0.5385833858542034,0
44,30,1,0.2504434017536037,0
215,20,0,0.8910551938418209,0
90,89,0,0.3330855480938729,1
59,39,0,0.14752383417734682,0
11,44,0,0.09655047859774513,1
63,76,1,0.01342291512012761,0
115,48,0,0.42285607856686147,1
269,86,1,0.18761098854542468,0
200,19,0,0.021647902587247914,0
227,91,0,0.5200195462895237,1
53,16,1,0.6799785486507615,0
171,27,0,0.08575105091110435,0
211,40,1,0.4609207729196596,0
279,65,1,0.7436286786007467,0
280,24,1,0.9858068210084251,0
224,57,0,0.6671903446425609,1
261,40,0,0.24483955080952058,0
199,5,0,0.7165536397789996,0
222,74,0,0.59792942681983,1
217,37,1,0.21179928858154773,0
246,5,0,0.8511108258475547,0
62,44,0,0.42740442722760086,1
289,74,1,0.9619776547341259,0
226,13,1,0.722901007447778,0
261,65,0,0.6445631546318221,1
197,39,1,0.7283528374765619,0
50,2,1,0.47809701881822153,0
166,98,1,0.505226477801674,1
24,96,1,0.851207385444744,1
74,23,1,0.6809285366435028,0
18,18,0,0.8972433251916417,1
138,17,0,0.8908267535742685,1
145,63,0,0.9764900340442492,1
72,87,0,0.7002146588453342,1
148,34,0,0.502301717661742,0
90,61,0,0.16631170020908237,1
172,0,0,0.7053805596474173,0
298,99,1,0.2915777167599307,0
270,24,0,0.28294756803733123,0
240,44,0,0.2382877764480681,0
50,48,0,0.8751220573514502,1
37,97,1,0.8679644466821582,1
144,88,0,0.6309704448700582,1
210,15,0,0.47298098137073585,0
277,97,1,0.672114460098799,0
42,92,0,0.6072294502983907,1
57,18,0,0.41573424832338735,1
71,22,1,0.37963086748563435,0
225,82,0,0.3827943081453502,1
108,24,1,0.5891334031560382,0
181,15,0,0.6476693561208259,0
223,53,0,0.451741753515442,0
44,72,0,0.968691450213043,1
236,0,1,0.08384571800448104,0
110,41,1,0.347047025953777,0
140,18,1,0.41907468312544094,0
266,96,0,0.016921343464943117,0
14,33,0,0.36495718766822516,1
227,79,1,0.27370991717284254,0
264,54,1,0.5060362702274808,0
292,17,0,0.33641054718326924,0
216,33,0,0.7261821349464612,0
24,88,0,0.5099324954076485,1
51,44,0,0.12976223349626437,0
188,5,1,0.7500613241443472,0
72,20,0,0.0992288960826766,0
240,69,0,0.8390491680793574,1
250,95,0,0.9314221940862194,1
61,47,0,0.3224452901848539,1
105,38,0,0.9261426332629309,1
231,30,0,0.7930081591225383,0
240,9,0,0.9224356110037699,0
246,29,1,0.6662701369208477,0
152,17,1,0.23564403942142187,0
180,59,1,0.8945232369109726,0
38,87,0,0.18426507617074372,1
45,72,1,0.21306055101753552,0
22,94,0,0.2710629901403637,1
169,14,0,0.30424631148658465,0
196,3,0,0.5144796421310306,0
252,62,0,0.7134573604340441,1
95,39,1,0.9262081744006837,1
293,8,0,0.08843758733550244,0
75,8,0,0.9543693622282359,1
179,25,1,0.9213229670968134,0
54,3,1,0.05399929218103894,0
71,80,1,0.3603211376915627,1
143,15,0,0.8131433902993365,1
293,14,1,0.6115765454794011,0
37,98,0,0.7790939433817704,1
117,51,0,0.7190333387898875,1
53,68,1,0.49677011312716357,1
295,4,1,0.04121804595169953,0
137,19,1,0.584268202064501,0
240,78,0,0.04856665305929597,0
199,17,0,0.6037267175351309,0
234,1,0,0.8004108624936782,0
292,92,0,0.5849917487019186,1
130,12,0,0.9970218045616971,1
125,3,0,0.45586650018043307,0
242,41,1,0.7488274636039874,0
268,73,0,0.6672132917419075,1
207,60,1,0.991431691558088,1
146,94,1,0.7132190050771051,1
174,7,1,0.1640307314593894,0
234,66,1,0.9555177064172409,0
243,62,1,0.6677772264457613,0
181,8,0,0.05933823080638989,0
161,93,0,0.6575683057846125,1
169,10,0,0.8831194066747751,1
105,98,0,0.577041861990025,1
242,41,1,0.3540196380320112,0
189,12,1,0.820909634070616,0
122,35,1,0.7825120082058294,0
61,12,0,0.5441821542313008,1
277,11,0,0.15436176989590034,0
122,36,0,0.25098648552318137,0
110,73,0,0.7384839721861057,1
122,72,1,0.8060821653949275,1
90,51,1,0.2792652780409898,0
196,70,0,0.36798507718678664,1
122,1,0,0.07763188524979514,0
11,55,1,0.7134619483664998,1
139,59,1,0.003577544600031346,0
229,22,1,0.04654152121906807,0
63,39,1,0.004344067784089911,0
233,63,0,0.6453195833376167,1
